study,policy,replicates,capacity_slots,capacity_bytes,decode_tok_s_median,hit_ratio_median,loads_per_token_median,bytes_per_token_median,context_only,source_sha256,derivation_id,analysis_code_version,source_evidence_class,derived_evidence_class,protocol,authority_scope
issue98_v3_screening,KNEE,3,7849,137728475136,0.46923809352587204,0.8194314707880435,265.796875,4664007936.0,True,"[""5142b1ce19dfe0b55e40b2f23e8932cb9ec025b9569781c56fceda0eb2766dc9""]",issue105-legacy-context-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,MEASURED_PHYSICAL,CURATED_FROM_MEASURED,legacy_first_full,issue98_legacy_first_full_only
issue98_v3_screening,S1_P10,3,7849,137728475136,0.33789974810294454,0.6449452275815217,522.640625,9170913024.0,True,"[""5142b1ce19dfe0b55e40b2f23e8932cb9ec025b9569781c56fceda0eb2766dc9""]",issue105-legacy-context-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,MEASURED_PHYSICAL,CURATED_FROM_MEASURED,legacy_first_full,issue98_legacy_first_full_only
issue98_v3_screening,S1_P50,3,7849,137728475136,0.4816392226728089,0.8296004585597826,250.828125,4401347328.0,True,"[""5142b1ce19dfe0b55e40b2f23e8932cb9ec025b9569781c56fceda0eb2766dc9""]",issue105-legacy-context-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,MEASURED_PHYSICAL,CURATED_FROM_MEASURED,legacy_first_full,issue98_legacy_first_full_only
issue98_v3_screening,S2_P25,3,7849,137728475136,0.35938783111098677,0.683944038722826,465.234375,8163590400.0,True,"[""5142b1ce19dfe0b55e40b2f23e8932cb9ec025b9569781c56fceda0eb2766dc9""]",issue105-legacy-context-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,MEASURED_PHYSICAL,CURATED_FROM_MEASURED,legacy_first_full,issue98_legacy_first_full_only
issue98_v3_screening,S2_P50,3,7849,137728475136,0.5054089364137572,0.8480808423913043,223.625,3924006912.0,True,"[""5142b1ce19dfe0b55e40b2f23e8932cb9ec025b9569781c56fceda0eb2766dc9""]",issue105-legacy-context-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,MEASURED_PHYSICAL,CURATED_FROM_MEASURED,legacy_first_full,issue98_legacy_first_full_only
issue98_v3_screening,S4_P25,3,7849,137728475136,0.4820611274059365,0.830322265625,249.765625,4382703360.0,True,"[""5142b1ce19dfe0b55e40b2f23e8932cb9ec025b9569781c56fceda0eb2766dc9""]",issue105-legacy-context-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,MEASURED_PHYSICAL,CURATED_FROM_MEASURED,legacy_first_full,issue98_legacy_first_full_only
issue98_v3_screening,S8_P25,3,7849,137728475136,0.481640077202672,0.8302585767663043,249.859375,4384348416.0,True,"[""5142b1ce19dfe0b55e40b2f23e8932cb9ec025b9569781c56fceda0eb2766dc9""]",issue105-legacy-context-v1,358252aa6fc89c60a527f74f00fef8c28860bc7d,MEASURED_PHYSICAL,CURATED_FROM_MEASURED,legacy_first_full,issue98_legacy_first_full_only
