case_id,semantic_family,length_level,selection_role,prompt_tokens,phase,selected_occurrences,distinct_expert_keys,mean_layer_entropy_bits,mean_layer_effective_experts,median_layer_distinct_experts,top16_selected_mass_fraction,mean_layer_mass50_experts,mean_layer_mass90_experts,cold_first_occurrences,finite_stack_distance_median,finite_stack_distance_mean,finite_stack_distance_p90,core_mass_gamma_0_8,core_mass_gamma_1_0,source_sha256,derivation_id,analysis_code_version,source_evidence_class,derived_evidence_class,protocol,authority_scope
03-science-b1,physics / scientific reasoning,1,STAGE_B2_ENDPOINT,154,DECODE,94208,28515,7.463212560681597,190.1147925342639,314.0,0.304931640625,49.25,210.93478260869566,5966,3547.0,10247.809138505474,31527.700000000026,0.3355765964673913,0.14414911684782608,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""90964851b35daac6a17715d0c0c6e742ddd80cd020165d78f24ed0499b070fd9"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
03-science-b1,physics / scientific reasoning,1,STAGE_B2_ENDPOINT,154,PREFILL,226688,47867,8.152106223809726,295.8436985013967,530.0,0.23317070158102768,73.6086956521739,316.94565217391306,47867,2800.0,6957.236946443651,20187.0,0.8641921936758893,0.8072901962168266,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""90964851b35daac6a17715d0c0c6e742ddd80cd020165d78f24ed0499b070fd9"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
03-science-b3,physics / scientific reasoning,3,STAGE_B_REPRESENTATIVE,225,DECODE,94208,28508,7.4949819671767015,192.65066377292655,322.0,0.2943699048913043,49.869565217391305,210.5,3748,4972.0,11735.19713685607,35096.80000000005,0.347412109375,0.1448709239130435,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566"",""c408fe912169f7284b08671bd5abb720203542c1404a2437a37d598c0b42efc5""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
03-science-b3,physics / scientific reasoning,3,STAGE_B_REPRESENTATIVE,225,PREFILL,331200,54296,8.269467014795833,324.0297878530779,610.5,0.2274033816425121,81.04347826086956,342.3804347826087,54296,3440.0,8110.265424118106,23467.0,0.8466243961352657,0.7490579710144928,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566"",""c408fe912169f7284b08671bd5abb720203542c1404a2437a37d598c0b42efc5""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
03-science-b8,physics / scientific reasoning,8,STAGE_B2_ENDPOINT,375,DECODE,94208,29050,7.551968296014116,199.4323478225625,320.5,0.28413722826086957,51.76086956521739,215.95652173913044,2284,4698.0,13001.968876463165,40504.499999999985,0.33242399796195654,0.13765285326086957,"[""11a7b36b929b39cb303584442b28124566d18ee5d02144c1df527db330b9d4ed"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
03-science-b8,physics / scientific reasoning,8,STAGE_B2_ENDPOINT,375,PREFILL,552000,61454,8.365079367033072,346.4555986999522,691.0,0.2204782608695652,85.73913043478261,366.0326086956522,61454,4085.0,9499.70769102184,26861.0,0.8111467391304348,0.6881449275362319,"[""11a7b36b929b39cb303584442b28124566d18ee5d02144c1df527db330b9d4ed"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
04-factual-b1,factual / explanatory knowledge,1,STAGE_B2_ENDPOINT,165,DECODE,94208,28707,7.56479572966042,201.47089598703033,322.0,0.2721106487771739,52.96739130434783,213.2173913043478,4988,4998.0,11026.272203541806,32838.100000000006,0.34696628736413043,0.13768469769021738,"[""0e04919aec7143dac60c510951e8211b6d8bc7f18e0f516439a7b3094bfa5dd5"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
04-factual-b1,factual / explanatory knowledge,1,STAGE_B2_ENDPOINT,165,PREFILL,242880,48480,8.195228321000496,304.7470943112284,532.5,0.2194046442687747,76.6195652173913,318.54347826086956,48480,3111.0,7232.979274691358,21049.0,0.8767910079051383,0.8050477602108037,"[""0e04919aec7143dac60c510951e8211b6d8bc7f18e0f516439a7b3094bfa5dd5"",""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
04-factual-b2,factual / explanatory knowledge,2,STAGE_B_REPRESENTATIVE,199,DECODE,94208,29212,7.601052801837301,206.39782893731655,328.5,0.2696692425271739,54.94565217391305,218.3804347826087,4539,4839.0,11636.747683145792,34731.0,0.38272758152173914,0.13858695652173914,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566"",""f0a795961cea21bb1a575c664ec21cbf1607f98f3e8f8bcc689da9440d59ae81""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
04-factual-b2,factual / explanatory knowledge,2,STAGE_B_REPRESENTATIVE,199,PREFILL,292928,51992,8.26958558839872,321.83391232434127,579.5,0.21517232903648678,81.04347826086956,334.30434782608694,51992,3440.0,7899.500510509015,22213.0,0.8648746449639502,0.7692231538125409,"[""18ab89a63b63f6c96a0e0aa4807fcf152aed251b441ab77a8b593bcb35929ba0"",""2dceb8a4e860f3978e6327eae0c473626868b77fbb3ede2b5b15d0a666536059"",""b7a23e73108c1612c3db9d822c9d82ff065764a4682ef037cdc277ba5d730566"",""f0a795961cea21bb1a575c664ec21cbf1607f98f3e8f8bcc689da9440d59ae81""]",issue105-route-features-v1,5278f4201b4d26c35835a3f4a42ebe85b9487994,MEASURED_OBSERVER,CURATED_FROM_MEASURED,issue102_observer_semantic_order,issue102_full_prompt
